Configuración,Protocolo,Métrica,Unidad,Media,Mediana,Std,Min,Max
mal_int,AODV,delay_promedio,ms,1.1645272,1.200673,0.20187229884944588,0.843302,1.482454
mal_int,AODV,jitter_promedio,ms,0.7852874000000001,0.7458075,0.14092230473718487,0.592302,1.048781
mal_int,AODV,perdida_paquetes,%,34.6273359,35.5845105,10.886071093021176,15.04786,55.425681
mal_int,AODV,pdr,%,65.3726641,64.4154895,10.886071093021176,44.574319,84.95214
mal_int,AODV,paquetes_totales,packets,22335.0,22144.5,2569.9049009642363,17795.0,26819.0
mal_int,AODV,paquetes_perdidos,packets,7685.8,8087.0,2297.177476818019,3207.0,10411.0
mal_int,AODV,numero_flujos,flows,881.2,892.0,33.81656398867277,822.0,925.0
mal_int,AODV,tiempo_simulacion,s,60.0,60.0,0.0,60.0,60.0
mal_int,OLSR,throughput_promedio,Kbps,8.026451100000001,7.811999999999999,3.3106185690151153,2.647059,13.173943
mal_int,OLSR,delay_promedio,ms,0.8659765,0.6697075,0.9046286723279613,0.120322,3.496195
mal_int,OLSR,jitter_promedio,ms,0.6953745,0.47602049999999996,0.6928360022001239,0.156657,2.71863
mal_int,OLSR,perdida_paquetes,%,52.059679200000005,50.8781575,11.66732147150386,34.655647,74.246877
mal_int,OLSR,pdr,%,47.940320799999995,49.1218425,11.66732147150386,25.753123,65.344353
mal_int,OLSR,paquetes_totales,packets,10867.0,10878.5,21.693316943243143,10827.0,10890.0
mal_int,OLSR,paquetes_perdidos,packets,5657.5,5535.0,1269.4183904450101,3774.0,8084.0
mal_int,OLSR,numero_flujos,flows,34.5,34.5,0.5,34.0,35.0
mal_int,OLSR,tiempo_simulacion,s,60.0,60.0,0.0,60.0,60.0
mal_int,DSDV,throughput_promedio,Kbps,8.404045700000001,7.3985140000000005,4.253995968772515,3.011657,14.936914
mal_int,DSDV,delay_promedio,ms,1.0639302,0.9213614999999999,0.5429366431230811,0.20895,2.017076
mal_int,DSDV,jitter_promedio,ms,0.5099402,0.507323,0.24986781273337308,0.186578,0.930711
mal_int,DSDV,perdida_paquetes,%,49.8892854,59.456492,19.978542513504784,14.694849,76.539482
mal_int,DSDV,pdr,%,50.11071460000001,40.543508,19.978542513504784,23.460518,85.305151
mal_int,DSDV,paquetes_totales,packets,10929.0,10929.0,0.0,10929.0,10929.0
mal_int,DSDV,paquetes_perdidos,packets,5452.4,6498.0,2183.4549319827966,1606.0,8365.0
mal_int,DSDV,numero_flujos,flows,35.0,35.0,0.0,35.0,35.0
mal_int,DSDV,tiempo_simulacion,s,60.0,60.0,0.0,60.0,60.0
mal_int,DSR,throughput_promedio,Kbps,22.152533333333334,15.633066666666666,15.542964801121082,7.918933333333333,57.5488
mal_int,DSR,delay_promedio,ms,0.24362227234903583,0.22770672774254164,0.12924286091504472,0.0671836935866983,0.419312748091603
mal_int,DSR,jitter_promedio,ms,0.4705300307863486,0.4450360144383654,0.25459236518683354,0.120161605231867,0.8329956140350883
mal_int,DSR,perdida_paquetes,%,0.0,0.0,0.0,0.0,0.0
mal_int,DSR,pdr,%,100.0,100.0,0.0,100.0,100.0
mal_int,DSR,paquetes_totales,packets,324.5,229.0,227.6801484539221,116.0,843.0
mal_int,DSR,paquetes_perdidos,packets,0.0,0.0,0.0,0.0,0.0
mal_int,DSR,numero_flujos,flows,12.5,8.0,9.531526635329726,4.0,33.0
mal_int,DSR,tiempo_simulacion,s,60.0,60.0,0.0,60.0,60.0
