timestamp,node_id,protocol,destination,next_hop,metric
2,9,DSDV,0.0.0.0,0.0.0.0,0
2,10,DSDV,0.0.0.0,0.0.0.0,0
2,11,DSDV,0.0.0.0,0.0.0.0,0
2,12,DSDV,0.0.0.0,0.0.0.0,0
2,13,DSDV,0.0.0.0,0.0.0.0,0
2,14,DSDV,0.0.0.0,0.0.0.0,0
2,15,DSDV,0.0.0.0,0.0.0.0,0
2,16,DSDV,0.0.0.0,0.0.0.0,0
2,17,DSDV,0.0.0.0,0.0.0.0,0
2,18,DSDV,0.0.0.0,0.0.0.0,0
2,19,DSDV,0.0.0.0,0.0.0.0,0
2,20,DSDV,0.0.0.0,0.0.0.0,0
2,21,DSDV,0.0.0.0,0.0.0.0,0
2,22,DSDV,0.0.0.0,0.0.0.0,0
2,23,DSDV,0.0.0.0,0.0.0.0,0
2,24,DSDV,0.0.0.0,0.0.0.0,0
2,25,DSDV,0.0.0.0,0.0.0.0,0
2,26,DSDV,0.0.0.0,0.0.0.0,0
2,27,DSDV,0.0.0.0,0.0.0.0,0
2,28,DSDV,0.0.0.0,0.0.0.0,0
2,29,DSDV,0.0.0.0,0.0.0.0,0
2,30,DSDV,0.0.0.0,0.0.0.0,0
2,31,DSDV,0.0.0.0,0.0.0.0,0
2,32,DSDV,0.0.0.0,0.0.0.0,0
2,33,DSDV,0.0.0.0,0.0.0.0,0
2,34,DSDV,0.0.0.0,0.0.0.0,0
3,0,DSDV,0.0.0.0,0.0.0.0,0
3,1,DSDV,0.0.0.0,0.0.0.0,0
3,2,DSDV,0.0.0.0,0.0.0.0,0
3,3,DSDV,0.0.0.0,0.0.0.0,0
3,4,DSDV,0.0.0.0,0.0.0.0,0
3,5,DSDV,0.0.0.0,0.0.0.0,0
3,6,DSDV,0.0.0.0,0.0.0.0,0
3,7,DSDV,0.0.0.0,0.0.0.0,0
3,8,DSDV,0.0.0.0,0.0.0.0,0
3,9,DSDV,0.0.0.0,0.0.0.0,0
3,10,DSDV,0.0.0.0,0.0.0.0,0
3,11,DSDV,0.0.0.0,0.0.0.0,0
3,12,DSDV,0.0.0.0,0.0.0.0,0
3,13,DSDV,0.0.0.0,0.0.0.0,0
3,14,DSDV,0.0.0.0,0.0.0.0,0
3,15,DSDV,0.0.0.0,0.0.0.0,0
3,16,DSDV,0.0.0.0,0.0.0.0,0
3,17,DSDV,0.0.0.0,0.0.0.0,0
3,18,DSDV,0.0.0.0,0.0.0.0,0
3,19,DSDV,0.0.0.0,0.0.0.0,0
3,20,DSDV,0.0.0.0,0.0.0.0,0
3,21,DSDV,0.0.0.0,0.0.0.0,0
3,22,DSDV,0.0.0.0,0.0.0.0,0
3,23,DSDV,0.0.0.0,0.0.0.0,0
3,24,DSDV,0.0.0.0,0.0.0.0,0
3,25,DSDV,0.0.0.0,0.0.0.0,0
3,26,DSDV,0.0.0.0,0.0.0.0,0
3,27,DSDV,0.0.0.0,0.0.0.0,0
3,28,DSDV,0.0.0.0,0.0.0.0,0
3,29,DSDV,0.0.0.0,0.0.0.0,0
3,30,DSDV,0.0.0.0,0.0.0.0,0
3,31,DSDV,0.0.0.0,0.0.0.0,0
3,32,DSDV,0.0.0.0,0.0.0.0,0
3,33,DSDV,0.0.0.0,0.0.0.0,0
3,34,DSDV,0.0.0.0,0.0.0.0,0
4,0,DSDV,0.0.0.0,0.0.0.0,0
4,1,DSDV,0.0.0.0,0.0.0.0,0
4,2,DSDV,0.0.0.0,0.0.0.0,0
4,3,DSDV,0.0.0.0,0.0.0.0,0
4,4,DSDV,0.0.0.0,0.0.0.0,0
4,5,DSDV,0.0.0.0,0.0.0.0,0
4,6,DSDV,0.0.0.0,0.0.0.0,0
4,7,DSDV,0.0.0.0,0.0.0.0,0
4,8,DSDV,0.0.0.0,0.0.0.0,0
4,9,DSDV,0.0.0.0,0.0.0.0,0
4,10,DSDV,0.0.0.0,0.0.0.0,0
4,11,DSDV,0.0.0.0,0.0.0.0,0
4,12,DSDV,0.0.0.0,0.0.0.0,0
4,13,DSDV,0.0.0.0,0.0.0.0,0
4,14,DSDV,0.0.0.0,0.0.0.0,0
4,15,DSDV,0.0.0.0,0.0.0.0,0
4,16,DSDV,0.0.0.0,0.0.0.0,0
4,17,DSDV,0.0.0.0,0.0.0.0,0
4,18,DSDV,0.0.0.0,0.0.0.0,0
4,19,DSDV,0.0.0.0,0.0.0.0,0
4,20,DSDV,0.0.0.0,0.0.0.0,0
4,21,DSDV,0.0.0.0,0.0.0.0,0
4,22,DSDV,0.0.0.0,0.0.0.0,0
4,23,DSDV,0.0.0.0,0.0.0.0,0
4,24,DSDV,0.0.0.0,0.0.0.0,0
4,25,DSDV,0.0.0.0,0.0.0.0,0
4,26,DSDV,0.0.0.0,0.0.0.0,0
4,27,DSDV,0.0.0.0,0.0.0.0,0
4,28,DSDV,0.0.0.0,0.0.0.0,0
4,29,DSDV,0.0.0.0,0.0.0.0,0
4,30,DSDV,0.0.0.0,0.0.0.0,0
4,31,DSDV,0.0.0.0,0.0.0.0,0
4,32,DSDV,0.0.0.0,0.0.0.0,0
4,33,DSDV,0.0.0.0,0.0.0.0,0
4,34,DSDV,0.0.0.0,0.0.0.0,0
5,0,DSDV,0.0.0.0,0.0.0.0,0
5,1,DSDV,0.0.0.0,0.0.0.0,0
5,2,DSDV,0.0.0.0,0.0.0.0,0
5,3,DSDV,0.0.0.0,0.0.0.0,0
5,4,DSDV,0.0.0.0,0.0.0.0,0
5,5,DSDV,0.0.0.0,0.0.0.0,0
5,6,DSDV,0.0.0.0,0.0.0.0,0
5,7,DSDV,0.0.0.0,0.0.0.0,0
5,8,DSDV,0.0.0.0,0.0.0.0,0
