timestamp,node_id,protocol,destination,next_hop,metric
5,22,OLSR,0.0.0.0,0.0.0.0,0
5,23,OLSR,0.0.0.0,0.0.0.0,0
5,24,OLSR,0.0.0.0,0.0.0.0,0
5,25,OLSR,0.0.0.0,0.0.0.0,0
5,26,OLSR,0.0.0.0,0.0.0.0,0
5,27,OLSR,0.0.0.0,0.0.0.0,0
5,28,OLSR,0.0.0.0,0.0.0.0,0
5,29,OLSR,0.0.0.0,0.0.0.0,0
5,30,OLSR,0.0.0.0,0.0.0.0,0
5,31,OLSR,0.0.0.0,0.0.0.0,0
5,32,OLSR,0.0.0.0,0.0.0.0,0
5,33,OLSR,0.0.0.0,0.0.0.0,0
5,34,OLSR,0.0.0.0,0.0.0.0,0
6,0,OLSR,0.0.0.0,0.0.0.0,0
6,1,OLSR,0.0.0.0,0.0.0.0,0
6,2,OLSR,0.0.0.0,0.0.0.0,0
6,3,OLSR,0.0.0.0,0.0.0.0,0
6,4,OLSR,0.0.0.0,0.0.0.0,0
6,5,OLSR,0.0.0.0,0.0.0.0,0
6,6,OLSR,0.0.0.0,0.0.0.0,0
6,7,OLSR,0.0.0.0,0.0.0.0,0
6,8,OLSR,0.0.0.0,0.0.0.0,0
6,9,OLSR,0.0.0.0,0.0.0.0,0
6,10,OLSR,0.0.0.0,0.0.0.0,0
6,11,OLSR,0.0.0.0,0.0.0.0,0
6,12,OLSR,0.0.0.0,0.0.0.0,0
6,13,OLSR,0.0.0.0,0.0.0.0,0
6,14,OLSR,0.0.0.0,0.0.0.0,0
6,15,OLSR,0.0.0.0,0.0.0.0,0
6,16,OLSR,0.0.0.0,0.0.0.0,0
6,17,OLSR,0.0.0.0,0.0.0.0,0
6,18,OLSR,0.0.0.0,0.0.0.0,0
6,19,OLSR,0.0.0.0,0.0.0.0,0
6,20,OLSR,0.0.0.0,0.0.0.0,0
6,21,OLSR,0.0.0.0,0.0.0.0,0
6,22,OLSR,0.0.0.0,0.0.0.0,0
6,23,OLSR,0.0.0.0,0.0.0.0,0
6,24,OLSR,0.0.0.0,0.0.0.0,0
6,25,OLSR,0.0.0.0,0.0.0.0,0
6,26,OLSR,0.0.0.0,0.0.0.0,0
6,27,OLSR,0.0.0.0,0.0.0.0,0
6,28,OLSR,0.0.0.0,0.0.0.0,0
6,29,OLSR,0.0.0.0,0.0.0.0,0
6,30,OLSR,0.0.0.0,0.0.0.0,0
6,31,OLSR,0.0.0.0,0.0.0.0,0
6,32,OLSR,0.0.0.0,0.0.0.0,0
6,33,OLSR,0.0.0.0,0.0.0.0,0
6,34,OLSR,0.0.0.0,0.0.0.0,0
7,0,OLSR,0.0.0.0,0.0.0.0,0
7,1,OLSR,0.0.0.0,0.0.0.0,0
7,2,OLSR,0.0.0.0,0.0.0.0,0
7,3,OLSR,0.0.0.0,0.0.0.0,0
7,4,OLSR,0.0.0.0,0.0.0.0,0
7,5,OLSR,0.0.0.0,0.0.0.0,0
7,6,OLSR,0.0.0.0,0.0.0.0,0
7,7,OLSR,0.0.0.0,0.0.0.0,0
7,8,OLSR,0.0.0.0,0.0.0.0,0
7,9,OLSR,0.0.0.0,0.0.0.0,0
7,10,OLSR,0.0.0.0,0.0.0.0,0
7,11,OLSR,0.0.0.0,0.0.0.0,0
7,12,OLSR,0.0.0.0,0.0.0.0,0
7,13,OLSR,0.0.0.0,0.0.0.0,0
7,14,OLSR,0.0.0.0,0.0.0.0,0
7,15,OLSR,0.0.0.0,0.0.0.0,0
7,16,OLSR,0.0.0.0,0.0.0.0,0
7,17,OLSR,0.0.0.0,0.0.0.0,0
7,18,OLSR,0.0.0.0,0.0.0.0,0
7,19,OLSR,0.0.0.0,0.0.0.0,0
7,20,OLSR,0.0.0.0,0.0.0.0,0
